Bitcoin,BTC,34.729.39,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,2.378.30,https://coinmarketcap.com/currencies/ethereum/
Tether,USDT,1.00,https://coinmarketcap.com/currencies/tether/
Binance Coin,BNB,336.60,https://coinmarketcap.com/currencies/binance-coin/
Cardano,ADA,1.43,https://coinmarketcap.com/currencies/cardano/
XRP,XRP,0.669,https://coinmarketcap.com/currencies/xrp/
Dogecoin,DOGE,0.2335,https://coinmarketcap.com/currencies/dogecoin/
USD Coin,USDC,0.9999,https://coinmarketcap.com/currencies/usd-coin/
Polkadot,DOT,17.13,https://coinmarketcap.com/currencies/polkadot-new/
Uniswap,UNI,23.02,https://coinmarketcap.com/currencies/uniswap/
Binance USD,BUSD,1.00,https://coinmarketcap.com/currencies/binance-usd/
Solana,SOL,36.92,https://coinmarketcap.com/currencies/solana/
Bitcoin Cash,BCH,529.08,https://coinmarketcap.com/currencies/bitcoin-cash/
Litecoin,LTC,141.46,https://coinmarketcap.com/currencies/litecoin/
Chainlink,LINK,20.88,https://coinmarketcap.com/currencies/chainlink/
Polygon,MATIC,1.15,https://coinmarketcap.com/currencies/polygon/
Wrapped Bitcoin,WBTC,34776.06,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Internet Computer,ICP,47.39,https://coinmarketcap.com/currencies/internet-computer/
THETA,THETA,6.42,https://coinmarketcap.com/currencies/theta/
Ethereum Classic,ETC,54.65,https://coinmarketcap.com/currencies/ethereum-classic/
Stellar,XLM,0.26,https://coinmarketcap.com/currencies/stellar/
Dai,DAI,1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/
VeChain,VET,0.09,https://coinmarketcap.com/currencies/vechain/
Filecoin,FIL,57.90,https://coinmarketcap.com/currencies/filecoin/
TRON,TRX,0.07,https://coinmarketcap.com/currencies/tron/
Aave,AAVE,323.39,https://coinmarketcap.com/currencies/aave/
Monero,XMR,224.82,https://coinmarketcap.com/currencies/monero/
EOS,EOS,3.94,https://coinmarketcap.com/currencies/eos/
SHIBA INU,SHIB,0.00,https://coinmarketcap.com/currencies/shiba-inu/
Crypto.com Coin,CRO,0.12,https://coinmarketcap.com/currencies/crypto-com-coin/
PancakeSwap,CAKE,15.84,https://coinmarketcap.com/currencies/pancakeswap/
Terra,LUNA,7.09,https://coinmarketcap.com/currencies/terra-luna/
Algorand,ALGO,0.94,https://coinmarketcap.com/currencies/algorand/
Maker,MKR,2891.71,https://coinmarketcap.com/currencies/maker/
Cosmos,ATOM,13.13,https://coinmarketcap.com/currencies/cosmos/
FTX Token,FTT,30.23,https://coinmarketcap.com/currencies/ftx-token/
Bitcoin SV,BSV,144.50,https://coinmarketcap.com/currencies/bitcoin-sv/
Neo,NEO,38.02,https://coinmarketcap.com/currencies/neo/
UNUS SED LEO,LEO,2.72,https://coinmarketcap.com/currencies/unus-sed-leo/
Klaytn,KLAY,1.03,https://coinmarketcap.com/currencies/klaytn/
Compound,COMP,479.16,https://coinmarketcap.com/currencies/compound/
Bitcoin BEP2,BTCB,34743.12,https://coinmarketcap.com/currencies/bitcoin-bep2/
IOTA,MIOTA,0.91,https://coinmarketcap.com/currencies/iota/
Tezos,XTZ,2.92,https://coinmarketcap.com/currencies/tezos/
Amp,AMP,0.06,https://coinmarketcap.com/currencies/amp/
Avalanche,AVAX,13.55,https://coinmarketcap.com/currencies/avalanche/
The Graph,GRT,0.75,https://coinmarketcap.com/currencies/the-graph/
Kusama,KSM,239.42,https://coinmarketcap.com/currencies/kusama/
TerraUSD,UST,1.00,https://coinmarketcap.com/currencies/terrausd/
Theta Fuel,TFUEL,0.36,https://coinmarketcap.com/currencies/theta-fuel/
Decred,DCR,139.35,https://coinmarketcap.com/currencies/decred/
Huobi Token,HT,10.45,https://coinmarketcap.com/currencies/huobi-token/
BitTorrent,BTT,0.00,https://coinmarketcap.com/currencies/bittorrent/
THORChain,RUNE,7.44,https://coinmarketcap.com/currencies/thorchain/
Elrond,EGLD,96.84,https://coinmarketcap.com/currencies/elrond-egld/
Waves,WAVES,16.43,https://coinmarketcap.com/currencies/waves/
Hedera Hashgraph,HBAR,0.19,https://coinmarketcap.com/currencies/hedera-hashgraph/
Celsius,CEL,6.97,https://coinmarketcap.com/currencies/celsius/
Chiliz,CHZ,0.27,https://coinmarketcap.com/currencies/chiliz/
TrueUSD,TUSD,1.00,https://coinmarketcap.com/currencies/trueusd/
Zcash,ZEC,119.83,https://coinmarketcap.com/currencies/zcash/
Dash,DASH,137.72,https://coinmarketcap.com/currencies/dash/
yearn.finance,YFI,37175.66,https://coinmarketcap.com/currencies/yearn-finance/
Synthetix,SNX,11.55,https://coinmarketcap.com/currencies/synthetix-network-token/
XinFin Network,XDC,0.10,https://coinmarketcap.com/currencies/xinfin-network/
Telcoin,TEL,0.02,https://coinmarketcap.com/currencies/telcoin/
NEM,XEM,0.13,https://coinmarketcap.com/currencies/nem/
Decentraland,MANA,0.71,https://coinmarketcap.com/currencies/decentraland/
Stacks,STX,1.00,https://coinmarketcap.com/currencies/stacks/
SushiSwap,SUSHI,9.16,https://coinmarketcap.com/currencies/sushiswap/
Helium,HNT,12.95,https://coinmarketcap.com/currencies/helium/
KuCoin Token,KCS,13.75,https://coinmarketcap.com/currencies/kucoin-token/
Enjin Coin,ENJ,1.32,https://coinmarketcap.com/currencies/enjin-coin/
Holo,HOT,0.01,https://coinmarketcap.com/currencies/holo/
Quant,QNT,81.28,https://coinmarketcap.com/currencies/quant/
NEAR Protocol,NEAR,2.33,https://coinmarketcap.com/currencies/near-protocol/
Basic Attention Token,BAT,0.63,https://coinmarketcap.com/currencies/basic-attention-token/
Nexo,NEXO,1.68,https://coinmarketcap.com/currencies/nexo/
Paxos Standard,PAX,1.00,https://coinmarketcap.com/currencies/paxos-standard/
Zilliqa,ZIL,0.08,https://coinmarketcap.com/currencies/zilliqa/
Harmony,ONE,0.09,https://coinmarketcap.com/currencies/harmony/
Axie Infinity,AXS,14.62,https://coinmarketcap.com/currencies/axie-infinity/
Mdex,MDX,1.69,https://coinmarketcap.com/currencies/mdex/
Bitcoin Gold,BTG,48.28,https://coinmarketcap.com/currencies/bitcoin-gold/
Celo,CELO,3.13,https://coinmarketcap.com/currencies/celo/
Bancor,BNT,3.51,https://coinmarketcap.com/currencies/bancor/
Curve DAO Token,CRV,2.08,https://coinmarketcap.com/currencies/curve-dao-token/
Horizen,ZEN,67.25,https://coinmarketcap.com/currencies/horizen/
Qtum,QTUM,7.25,https://coinmarketcap.com/currencies/qtum/
Fantom,FTM,0.28,https://coinmarketcap.com/currencies/fantom/
Siacoin,SC,0.01,https://coinmarketcap.com/currencies/siacoin/
Ontology,ONT,0.76,https://coinmarketcap.com/currencies/ontology/
Revain,REV,0.01,https://coinmarketcap.com/currencies/revain/
DigiByte,DGB,0.05,https://coinmarketcap.com/currencies/digibyte/
SwissBorg,CHSB,0.66,https://coinmarketcap.com/currencies/swissborg/
0x,ZRX,0.78,https://coinmarketcap.com/currencies/0x/
OMG Network,OMG,4.60,https://coinmarketcap.com/currencies/omg/
OKB,OKB,10.66,https://coinmarketcap.com/currencies/okb/
UMA,UMA,10.31,https://coinmarketcap.com/currencies/uma/
Nano,NANO,4.69,https://coinmarketcap.com/currencies/nano/
Bitcoin,BTC,33.883.14,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,2.119.82,https://coinmarketcap.com/currencies/ethereum/
Tether,USDT,1.00,https://coinmarketcap.com/currencies/tether/
Binance Coin,BNB,327.11,https://coinmarketcap.com/currencies/binance-coin/
Cardano,ADA,1.35,https://coinmarketcap.com/currencies/cardano/
XRP,XRP,0.6415,https://coinmarketcap.com/currencies/xrp/
Dogecoin,DOGE,0.2143,https://coinmarketcap.com/currencies/dogecoin/
USD Coin,USDC,1.00,https://coinmarketcap.com/currencies/usd-coin/
Polkadot,DOT,15.28,https://coinmarketcap.com/currencies/polkadot-new/
Uniswap,UNI,20.68,https://coinmarketcap.com/currencies/uniswap/
Binance USD,BUSD,1.00,https://coinmarketcap.com/currencies/binance-usd/
Bitcoin Cash,BCH,490.30,https://coinmarketcap.com/currencies/bitcoin-cash/
Litecoin,LTC,136.92,https://coinmarketcap.com/currencies/litecoin/
Solana,SOL,31.62,https://coinmarketcap.com/currencies/solana/
Chainlink,LINK,18.10,https://coinmarketcap.com/currencies/chainlink/
Wrapped Bitcoin,WBTC,33892.52,https://coinmarketcap.com/currencies/wrapped-bitcoin/
Polygon,MATIC,1.03,https://coinmarketcap.com/currencies/polygon/
THETA,THETA,5.87,https://coinmarketcap.com/currencies/theta/
Ethereum Classic,ETC,49.37,https://coinmarketcap.com/currencies/ethereum-classic/
Stellar,XLM,0.25,https://coinmarketcap.com/currencies/stellar/
Dai,DAI,1.00,https://coinmarketcap.com/currencies/multi-collateral-dai/
Internet Computer,ICP,39.31,https://coinmarketcap.com/currencies/internet-computer/
VeChain,VET,0.08,https://coinmarketcap.com/currencies/vechain/
Filecoin,FIL,54.66,https://coinmarketcap.com/currencies/filecoin/
TRON,TRX,0.06,https://coinmarketcap.com/currencies/tron/
Aave,AAVE,310.78,https://coinmarketcap.com/currencies/aave/
EOS,EOS,4.17,https://coinmarketcap.com/currencies/eos/
Monero,XMR,211.59,https://coinmarketcap.com/currencies/monero/
Terra,LUNA,8.10,https://coinmarketcap.com/currencies/terra-luna/
Crypto.com Coin,CRO,0.13,https://coinmarketcap.com/currencies/crypto-com-coin/
SHIBA INU,SHIB,0.00,https://coinmarketcap.com/currencies/shiba-inu/
PancakeSwap,CAKE,15.47,https://coinmarketcap.com/currencies/pancakeswap/
FTX Token,FTT,31.56,https://coinmarketcap.com/currencies/ftx-token/
Cosmos,ATOM,13.68,https://coinmarketcap.com/currencies/cosmos/
UNUS SED LEO,LEO,2.89,https://coinmarketcap.com/currencies/unus-sed-leo/
Algorand,ALGO,0.88,https://coinmarketcap.com/currencies/algorand/
Maker,MKR,2657.02,https://coinmarketcap.com/currencies/maker/
Bitcoin SV,BSV,138.63,https://coinmarketcap.com/currencies/bitcoin-sv/
Bitcoin BEP2,BTCB,33831.54,https://coinmarketcap.com/currencies/bitcoin-bep2/
Tezos,XTZ,2.88,https://coinmarketcap.com/currencies/tezos/
Klaytn,KLAY,0.98,https://coinmarketcap.com/currencies/klaytn/
Neo,NEO,34.15,https://coinmarketcap.com/currencies/neo/
Amp,AMP,0.05,https://coinmarketcap.com/currencies/amp/
Compound,COMP,426.58,https://coinmarketcap.com/currencies/compound/
IOTA,MIOTA,0.82,https://coinmarketcap.com/currencies/iota/
Avalanche,AVAX,12.36,https://coinmarketcap.com/currencies/avalanche/
The Graph,GRT,0.71,https://coinmarketcap.com/currencies/the-graph/
TerraUSD,UST,1.00,https://coinmarketcap.com/currencies/terrausd/
Theta Fuel,TFUEL,0.34,https://coinmarketcap.com/currencies/theta-fuel/
Kusama,KSM,207.16,https://coinmarketcap.com/currencies/kusama/
Decred,DCR,131.21,https://coinmarketcap.com/currencies/decred/
Elrond,EGLD,89.09,https://coinmarketcap.com/currencies/elrond-egld/
BitTorrent,BTT,0.00,https://coinmarketcap.com/currencies/bittorrent/
Huobi Token,HT,9.63,https://coinmarketcap.com/currencies/huobi-token/
Hedera Hashgraph,HBAR,0.17,https://coinmarketcap.com/currencies/hedera-hashgraph/
TrueUSD,TUSD,1.00,https://coinmarketcap.com/currencies/trueusd/
Waves,WAVES,14.17,https://coinmarketcap.com/currencies/waves/
Chiliz,CHZ,0.25,https://coinmarketcap.com/currencies/chiliz/
Synthetix,SNX,12.91,https://coinmarketcap.com/currencies/synthetix-network-token/
Stacks,STX,1.25,https://coinmarketcap.com/currencies/stacks/
Celsius,CEL,6.15,https://coinmarketcap.com/currencies/celsius/
THORChain,RUNE,6.25,https://coinmarketcap.com/currencies/thorchain/
Dash,DASH,131.50,https://coinmarketcap.com/currencies/dash/
Zcash,ZEC,110.05,https://coinmarketcap.com/currencies/zcash/
yearn.finance,YFI,33506.42,https://coinmarketcap.com/currencies/yearn-finance/
Decentraland,MANA,0.69,https://coinmarketcap.com/currencies/decentraland/
Helium,HNT,12.71,https://coinmarketcap.com/currencies/helium/
XinFin Network,XDC,0.09,https://coinmarketcap.com/currencies/xinfin-network/
NEM,XEM,0.12,https://coinmarketcap.com/currencies/nem/
Enjin Coin,ENJ,1.31,https://coinmarketcap.com/currencies/enjin-coin/
KuCoin Token,KCS,13.57,https://coinmarketcap.com/currencies/kucoin-token/
Axie Infinity,AXS,17.44,https://coinmarketcap.com/currencies/axie-infinity/
SushiSwap,SUSHI,8.01,https://coinmarketcap.com/currencies/sushiswap/
Telcoin,TEL,0.02,https://coinmarketcap.com/currencies/telcoin/
Holo,HOT,0.01,https://coinmarketcap.com/currencies/holo/
Quant,QNT,78.19,https://coinmarketcap.com/currencies/quant/
Paxos Standard,PAX,1.00,https://coinmarketcap.com/currencies/paxos-standard/
Nexo,NEXO,1.62,https://coinmarketcap.com/currencies/nexo/
Flow,FLOW,17.73,https://coinmarketcap.com/currencies/flow/
NEAR Protocol,NEAR,2.14,https://coinmarketcap.com/currencies/near-protocol/
Mdex,MDX,1.60,https://coinmarketcap.com/currencies/mdex/
Zilliqa,ZIL,0.07,https://coinmarketcap.com/currencies/zilliqa/
Basic Attention Token,BAT,0.56,https://coinmarketcap.com/currencies/basic-attention-token/
Harmony,ONE,0.08,https://coinmarketcap.com/currencies/harmony/
Bitcoin Gold,BTG,44.12,https://coinmarketcap.com/currencies/bitcoin-gold/
Celo,CELO,2.89,https://coinmarketcap.com/currencies/celo/
Bancor,BNT,3.20,https://coinmarketcap.com/currencies/bancor/
Horizen,ZEN,60.25,https://coinmarketcap.com/currencies/horizen/
Curve DAO Token,CRV,1.75,https://coinmarketcap.com/currencies/curve-dao-token/
Qtum,QTUM,6.71,https://coinmarketcap.com/currencies/qtum/
0x,ZRX,0.77,https://coinmarketcap.com/currencies/0x/
OKB,OKB,10.64,https://coinmarketcap.com/currencies/okb/
SwissBorg,CHSB,0.62,https://coinmarketcap.com/currencies/swissborg/
Siacoin,SC,0.01,https://coinmarketcap.com/currencies/siacoin/
Ontology,ONT,0.70,https://coinmarketcap.com/currencies/ontology/
Nano,NANO,4.60,https://coinmarketcap.com/currencies/nano/
DigiByte,DGB,0.04,https://coinmarketcap.com/currencies/digibyte/
Fantom,FTM,0.23,https://coinmarketcap.com/currencies/fantom/
ICON,ICX,0.92,https://coinmarketcap.com/currencies/icon/
OMG Network,OMG,4.18,https://coinmarketcap.com/currencies/omg/
